No,Position Level,Position Title,State,Age,Years of Exp.,Industry,Qualification,Salary (Rp)
17,CEO  /  GM  /  Director  /  Senior Manager,Director,Jawa Barat,57,30,Services,Bachelor's Degree,25000000
18,CEO  /  GM  /  Director  /  Senior Manager,Director,Jawa Timur,57,35,Services,Master's Degree / Post Graduate Degree,15000000
19,CEO  /  GM  /  Director  /  Senior Manager,Director,Jawa Timur,56,29,Wholesale / Retail / Trading,Bachelor's Degree,10000000
20,CEO  /  GM  /  Director  /  Senior Manager,Director,Jawa Tengah,56,31,Services,Master's Degree / Post Graduate Degree,5000000
21,CEO  /  GM  /  Director  /  Senior Manager,Director,Jakarta Raya,55,30,IT / Telecommunication,Bachelor's Degree,40000000
22,CEO  /  GM  /  Director  /  Senior Manager,Director,Jawa Barat,55,31,Others,Master's Degree / Post Graduate Degree,30000000
23,CEO  /  GM  /  Director  /  Senior Manager,Director,Bali,54,17,Services,Master's Degree / Post Graduate Degree,30000000
24,CEO  /  GM  /  Director  /  Senior Manager,Director,Jakarta Raya,54,31,Transport / Storage / Freight / Shipping,Associate Degree,20000000
25,CEO  /  GM  /  Director  /  Senior Manager,Director,Bali,54,29,Services,Associate Degree,15000000
26,CEO  /  GM  /  Director  /  Senior Manager,General Manager,Jakarta Raya,66,41,Manufacturing,Master's Degree / Post Graduate Degree,23000000
27,CEO  /  GM  /  Director  /  Senior Manager,General Manager,Banten,63,39,Construction,Master's Degree / Post Graduate Degree,23000000
28,CEO  /  GM  /  Director  /  Senior Manager,General Manager,Jawa Barat,62,42,Energy / Electricity / Water / Natural Resources,Bachelor's Degree,15000000
29,CEO  /  GM  /  Director  /  Senior Manager,General Manager,Banten,61,39,Science / Technology,Master's Degree / Post Graduate Degree,20000000
30,CEO  /  GM  /  Director  /  Senior Manager,General Manager,Jawa Barat,61,38,Automotive / Heavy Industry,Bachelor's Degree,12500000
31,CEO  /  GM  /  Director  /  Senior Manager,General Manager,Jakarta Raya,60,34,Finance / Securities / Insurance / Real Estate,Master's Degree / Post Graduate Degree,18000000
32,CEO  /  GM  /  Director  /  Senior Manager,General Manager,Jakarta Raya,59,33,Construction,Master's Degree / Post Graduate Degree,25000000
33,CEO  /  GM  /  Director  /  Senior Manager,General Manager,Kalimantan Timur,59,35,Manufacturing,Master's Degree / Post Graduate Degree,22000000
34,CEO  /  GM  /  Director  /  Senior Manager,General Manager,Jakarta Raya,59,29,Construction,Bachelor's Degree,17500000
35,CEO  /  GM  /  Director  /  Senior Manager,General Manager,Jawa Barat,59,40,Services,Bachelor's Degree,17435538
36,CEO  /  GM  /  Director  /  Senior Manager,General Manager,Banten,58,33,Manufacturing,Master's Degree / Post Graduate Degree,30000000
37,CEO  /  GM  /  Director  /  Senior Manager,General Manager,Jawa Barat,57,31,Manufacturing,Master's Degree / Post Graduate Degree,29500000
38,CEO  /  GM  /  Director  /  Senior Manager,General Manager,Jakarta Raya,57,28,Construction,Bachelor's Degree,20000000
39,CEO  /  GM  /  Director  /  Senior Manager,General Manager,Jawa Barat,56,3,Energy / Electricity / Water / Natural Resources,Master's Degree / Post Graduate Degree,30000000
40,CEO  /  GM  /  Director  /  Senior Manager,General Manager,Jawa Barat,56,22,Services,Bachelor's Degree,12000000
41,CEO  /  GM  /  Director  /  Senior Manager,General Manager,Jawa Barat,56,29,Manufacturing,Bachelor's Degree,10850000
42,CEO  /  GM  /  Director  /  Senior Manager,General Manager,Jakarta Raya,55,31,Energy / Electricity / Water / Natural Resources,Master's Degree / Post Graduate Degree,32000000
43,CEO  /  GM  /  Director  /  Senior Manager,General Manager,Jakarta Raya,55,32,Services,Master's Degree / Post Graduate Degree,28000000
44,CEO  /  GM  /  Director  /  Senior Manager,General Manager,Jawa Tengah,55,28,Services,Bachelor's Degree,20500000
45,CEO  /  GM  /  Director  /  Senior Manager,General Manager,Jawa Barat,55,30,Manufacturing,Master's Degree / Post Graduate Degree,20000000
46,CEO  /  GM  /  Director  /  Senior Manager,General Manager,Jakarta Raya,55,25,Services,Bachelor's Degree,16000000
47,CEO  /  GM  /  Director  /  Senior Manager,General Manager,Jakarta Raya,55,28,Services,Bachelor's Degree,12500000
48,CEO  /  GM  /  Director  /  Senior Manager,General Manager,Jakarta Raya,54,31,Others,Master's Degree / Post Graduate Degree,24300000
49,CEO  /  GM  /  Director  /  Senior Manager,General Manager,Jawa Barat,54,30,Energy / Electricity / Water / Natural Resources,Master's Degree / Post Graduate Degree,23500000
50,CEO  /  GM  /  Director  /  Senior Manager,General Manager,Jawa Barat,54,31,Services,Master's Degree / Post Graduate Degree,23000000
51,CEO  /  GM  /  Director  /  Senior Manager,Product Manager,Jawa Timur,48,25,Wholesale / Retail / Trading,Bachelor's Degree,12000000
52,CEO  /  GM  /  Director  /  Senior Manager,Product Manager,Banten,47,22,Automotive / Heavy Industry,Bachelor's Degree,17500000
53,CEO  /  GM  /  Director  /  Senior Manager,Product Manager,Jakarta Raya,45,21,Science / Technology,Master's Degree / Post Graduate Degree,14500000
54,CEO  /  GM  /  Director  /  Senior Manager,Product Manager,Jakarta Raya,44,14,Wholesale / Retail / Trading,Bachelor's Degree,16000000
55,CEO  /  GM  /  Director  /  Senior Manager,Product Manager,Jawa Barat,43,18,Finance / Securities / Insurance / Real Estate,Master's Degree / Post Graduate Degree,25000000
56,CEO  /  GM  /  Director  /  Senior Manager,Product Manager,Jawa Barat,43,18,Manufacturing,Bachelor's Degree,10000000
57,CEO  /  GM  /  Director  /  Senior Manager,Product Manager,Jakarta Raya,42,17,Automotive / Heavy Industry,Bachelor's Degree,24000000
58,CEO  /  GM  /  Director  /  Senior Manager,Product Manager,Jakarta Raya,41,18,Automotive / Heavy Industry,Bachelor's Degree,25000000
59,CEO  /  GM  /  Director  /  Senior Manager,Product Manager,Banten,41,17,Services,Doctorate,20000000
60,CEO  /  GM  /  Director  /  Senior Manager,Product Manager,Banten,41,15,Finance / Securities / Insurance / Real Estate,Master's Degree / Post Graduate Degree,20000000
61,CEO  /  GM  /  Director  /  Senior Manager,Product Manager,Jawa Barat,41,13,Wholesale / Retail / Trading,Master's Degree / Post Graduate Degree,17500000
62,CEO  /  GM  /  Director  /  Senior Manager,Product Manager,Jakarta Raya,41,14,Energy / Electricity / Water / Natural Resources,Bachelor's Degree,16300000
63,CEO  /  GM  /  Director  /  Senior Manager,Product Manager,Jakarta Raya,39,15,Wholesale / Retail / Trading,Bachelor's Degree,18000000
64,CEO  /  GM  /  Director  /  Senior Manager,Product Manager,Jakarta Raya,39,14,Manufacturing,Bachelor's Degree,15000000
65,CEO  /  GM  /  Director  /  Senior Manager,Product Manager,Jakarta Raya,38,19,IT / Telecommunication,Bachelor's Degree,25000000
66,CEO  /  GM  /  Director  /  Senior Manager,Product Manager,Banten,38,13,Automotive / Heavy Industry,Bachelor's Degree,23000000
67,CEO  /  GM  /  Director  /  Senior Manager,Product Manager,Jawa Timur,37,14,Manufacturing,Bachelor's Degree,25000000
68,CEO  /  GM  /  Director  /  Senior Manager,Product Manager,Jawa Barat,37,15,Services,Bachelor's Degree,21500000
69,CEO  /  GM  /  Director  /  Senior Manager,Product Manager,Jakarta Raya,36,11,Wholesale / Retail / Trading,Bachelor's Degree,22000000
70,CEO  /  GM  /  Director  /  Senior Manager,Product Manager,Jakarta Raya,36,12,Wholesale / Retail / Trading,Bachelor's Degree,20000000
71,CEO  /  GM  /  Director  /  Senior Manager,Product Manager,Jakarta Raya,35,12,Wholesale / Retail / Trading,Master's Degree / Post Graduate Degree,18000000
72,CEO  /  GM  /  Director  /  Senior Manager,Product Manager,Jakarta Raya,34,12,Services,Bachelor's Degree,22000000
73,CEO  /  GM  /  Director  /  Senior Manager,Product Manager,Jakarta Raya,34,12,IT / Telecommunication,Bachelor's Degree,20000000
74,CEO  /  GM  /  Director  /  Senior Manager,Product Manager,Jakarta Raya,33,11,Science / Technology,Master's Degree / Post Graduate Degree,22500000
75,CEO  /  GM  /  Director  /  Senior Manager,Product Manager,Jakarta Raya,33,11,Manufacturing,Master's Degree / Post Graduate Degree,21000000
76,Manager  /  Assistant Manager,Account Officer,Jakarta Raya,46,22,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,8000000
77,Manager  /  Assistant Manager,Account Officer,Jawa Barat,39,16,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,9000000
78,Manager  /  Assistant Manager,Account Officer,Jakarta Raya,39,14,Finance / Securities / Insurance / Real Estate,Master's Degree / Post Graduate Degree,6000000
79,Manager  /  Assistant Manager,Account Officer,Jakarta Raya,37,15,Construction,Bachelor's Degree,8000000
80,Manager  /  Assistant Manager,Account Officer,Jawa Barat,36,9,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,6850000
81,Manager  /  Assistant Manager,Account Officer,Jakarta Raya,34,11,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,5500000
82,Manager  /  Assistant Manager,Account Officer,Jakarta Raya,34,10,Finance / Securities / Insurance / Real Estate,Master's Degree / Post Graduate Degree,5500000
83,Manager  /  Assistant Manager,Account Officer,Sumatera Utara,32,8,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,8000000
84,Manager  /  Assistant Manager,Account Officer,Jakarta Raya,32,9,Finance / Securities / Insurance / Real Estate,Master's Degree / Post Graduate Degree,6500000
85,Manager  /  Assistant Manager,Account Officer,Jakarta Raya,32,7,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,6000000
86,Manager  /  Assistant Manager,Account Officer,Jawa Tengah,32,8,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,3500000
87,Manager  /  Assistant Manager,Account Officer,Jawa Barat,31,6,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,7200000
88,Manager  /  Assistant Manager,Account Officer,Jakarta Raya,31,8,Finance / Securities / Insurance / Real Estate,Master's Degree / Post Graduate Degree,7000000
89,Manager  /  Assistant Manager,Account Officer,Jawa Tengah,31,7,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,7000000
90,Manager  /  Assistant Manager,Account Officer,Jawa Tengah,31,8,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,6500000
91,Manager  /  Assistant Manager,Account Officer,Jawa Barat,31,8,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,6000000
92,Manager  /  Assistant Manager,Account Officer,Jakarta Raya,31,8,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,6000000
93,Manager  /  Assistant Manager,Account Officer,Jawa Tengah,30,6,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,5000000
94,Manager  /  Assistant Manager,Account Officer,Jakarta Raya,29,5,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,8000000
95,Manager  /  Assistant Manager,Account Officer,Jawa Barat,29,3,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,5600000
96,Manager  /  Assistant Manager,Account Officer,Jawa Tengah,28,4,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,6000000
97,Manager  /  Assistant Manager,Account Officer,Jawa Barat,28,5,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,5900000
98,Manager  /  Assistant Manager,Account Officer,Jawa Tengah,28,5,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,5500000
99,Manager  /  Assistant Manager,Account Officer,Jakarta Raya,28,5,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,3800000
100,Manager  /  Assistant Manager,Account Officer,Jakarta Raya,27,4,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,9000000
101,Supervisor  /  Coordinator,Purchasing Staff,Jawa Barat,42,12,Wholesale / Retail / Trading,Bachelor's Degree,3500000
102,Supervisor  /  Coordinator,Purchasing Staff,Jawa Barat,37,10,Automotive / Heavy Industry,Bachelor's Degree,4500000
103,Supervisor  /  Coordinator,Purchasing Staff,Banten,31,11,Manufacturing,Associate Degree,4000000
104,Supervisor  /  Coordinator,Purchasing Staff,Jakarta Raya,30,8,Wholesale / Retail / Trading,Bachelor's Degree,4500000
105,Supervisor  /  Coordinator,Purchasing Staff,Jawa Barat,29,10,Manufacturing,Bachelor's Degree,4000000
106,Supervisor  /  Coordinator,Purchasing Staff,Banten,29,6,Services,Associate Degree,3500000
107,Staff (non-management & non-supervisor),Purchasing Staff,Jakarta Raya,47,12,Manufacturing,Master's Degree / Post Graduate Degree,3500000
108,Staff (non-management & non-supervisor),Purchasing Staff,Jakarta Raya,42,21,Construction,Bachelor's Degree,3600000
109,Staff (non-management & non-supervisor),Purchasing Staff,Jawa Barat,41,17,Others,Bachelor's Degree,3800000
110,Staff (non-management & non-supervisor),Purchasing Staff,Jawa Timur,41,17,Manufacturing,Bachelor's Degree,3500000
111,Staff (non-management & non-supervisor),Purchasing Staff,Jawa Barat,38,14,Manufacturing,Bachelor's Degree,4500000
112,Staff (non-management & non-supervisor),Purchasing Staff,Jakarta Raya,38,11,Others,Bachelor's Degree,3500000
113,Staff (non-management & non-supervisor),Purchasing Staff,Jawa Timur,37,4,Manufacturing,Bachelor's Degree,4000000
114,Staff (non-management & non-supervisor),Purchasing Staff,Jakarta Raya,36,17,Manufacturing,Bachelor's Degree,4787900
115,Staff (non-management & non-supervisor),Purchasing Staff,Jawa Barat,36,12,Automotive / Heavy Industry,Bachelor's Degree,4500000
116,Staff (non-management & non-supervisor),Purchasing Staff,Jawa Barat,35,8,Manufacturing,Bachelor's Degree,4700000
117,Staff (non-management & non-supervisor),Purchasing Staff,Jakarta Raya,35,10,Energy / Electricity / Water / Natural Resources,Bachelor's Degree,4300000
118,Staff (non-management & non-supervisor),Purchasing Staff,Jawa Barat,35,14,Manufacturing,Associate Degree,4000000
119,Staff (non-management & non-supervisor),Purchasing Staff,Jakarta Raya,35,3,Wholesale / Retail / Trading,Bachelor's Degree,4000000
120,Staff (non-management & non-supervisor),Purchasing Staff,Jawa Barat,35,11,Agriculture / Plantations / Aquaculture,Bachelor's Degree,4000000
121,Staff (non-management & non-supervisor),Purchasing Staff,Jakarta Raya,35,10,Wholesale / Retail / Trading,Bachelor's Degree,4000000
122,Staff (non-management & non-supervisor),Purchasing Staff,Banten,35,10,IT / Telecommunication,Associate Degree,3800000
123,Staff (non-management & non-supervisor),Purchasing Staff,Jawa Barat,35,10,IT / Telecommunication,Bachelor's Degree,3500000
124,Staff (non-management & non-supervisor),Purchasing Staff,Jawa Timur,35,11,Services,Bachelor's Degree,3500000
125,Staff (non-management & non-supervisor),Purchasing Staff,Kepulauan Riau,34,11,Manufacturing,Associate Degree,4500000
126,Manager  /  Assistant Manager,Sales Supervisor,Jawa Barat,40,14,Manufacturing,Bachelor's Degree,10000000
127,Manager  /  Assistant Manager,Sales Supervisor,Jawa Timur,40,20,Manufacturing,Bachelor's Degree,10000000
128,Manager  /  Assistant Manager,Sales Supervisor,Sumatera Utara,40,19,Wholesale / Retail / Trading,Bachelor's Degree,7000000
129,Manager  /  Assistant Manager,Sales Supervisor,Jawa Timur,38,15,Automotive / Heavy Industry,Bachelor's Degree,5000000
130,Manager  /  Assistant Manager,Sales Supervisor,Jakarta Raya,37,10,Manufacturing,Bachelor's Degree,8000000
131,Manager  /  Assistant Manager,Sales Supervisor,Jawa Barat,37,10,Wholesale / Retail / Trading,Bachelor's Degree,7000000
132,Manager  /  Assistant Manager,Sales Supervisor,Yogyakarta,37,15,Automotive / Heavy Industry,Bachelor's Degree,5500000
133,Manager  /  Assistant Manager,Sales Supervisor,Jakarta Raya,36,14,Wholesale / Retail / Trading,Bachelor's Degree,10000000
134,Manager  /  Assistant Manager,Sales Supervisor,Jawa Barat,36,11,Science / Technology,Bachelor's Degree,7750000
135,Manager  /  Assistant Manager,Sales Supervisor,Jawa Timur,35,11,Manufacturing,Bachelor's Degree,6000000
136,Manager  /  Assistant Manager,Sales Supervisor,Kalimantan Timur,34,15,Wholesale / Retail / Trading,Bachelor's Degree,10000000
137,Manager  /  Assistant Manager,Sales Supervisor,Jawa Timur,34,11,Wholesale / Retail / Trading,Master's Degree / Post Graduate Degree,7700000
138,Manager  /  Assistant Manager,Sales Supervisor,Jakarta Raya,33,10,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,8000000
139,Manager  /  Assistant Manager,Sales Supervisor,Yogyakarta,32,7,Wholesale / Retail / Trading,Bachelor's Degree,9500000
140,Manager  /  Assistant Manager,Sales Supervisor,Jawa Timur,32,8,Agriculture / Plantations / Aquaculture,Bachelor's Degree,5500000
141,Manager  /  Assistant Manager,Sales Supervisor,Jakarta Raya,31,12,Wholesale / Retail / Trading,Bachelor's Degree,7500000
142,Supervisor  /  Coordinator,Sales Supervisor,Jawa Barat,45,17,Automotive / Heavy Industry,Associate Degree,6500000
143,Supervisor  /  Coordinator,Sales Supervisor,Jakarta Raya,43,20,Manufacturing,Associate Degree,8875000
144,Supervisor  /  Coordinator,Sales Supervisor,Jakarta Raya,43,5,Wholesale / Retail / Trading,Associate Degree,6500000
145,Supervisor  /  Coordinator,Sales Supervisor,Jakarta Raya,42,25,Others,Bachelor's Degree,8000000
146,Supervisor  /  Coordinator,Sales Supervisor,Sumatera Selatan,42,15,Others,Bachelor's Degree,6500000
147,Supervisor  /  Coordinator,Sales Supervisor,Jawa Barat,42,13,Automotive / Heavy Industry,Bachelor's Degree,5500000
148,Supervisor  /  Coordinator,Sales Supervisor,Jakarta Raya,41,14,Wholesale / Retail / Trading,Bachelor's Degree,7500000
149,Supervisor  /  Coordinator,Sales Supervisor,Jawa Barat,41,16,Automotive / Heavy Industry,Associate Degree,7000000
150,Supervisor  /  Coordinator,Sales Supervisor,Jawa Barat,41,20,Transport / Storage / Freight / Shipping,Associate Degree,7000000
151,CEO  /  GM  /  Director  /  Senior Manager,IT Manager,Jakarta Raya,55,30,Construction,Bachelor's Degree,15000000
152,CEO  /  GM  /  Director  /  Senior Manager,IT Manager,Jakarta Raya,52,32,Manufacturing,Master's Degree / Post Graduate Degree,32000000
153,CEO  /  GM  /  Director  /  Senior Manager,IT Manager,Jakarta Raya,52,27,Services,Bachelor's Degree,25000000
154,CEO  /  GM  /  Director  /  Senior Manager,IT Manager,Jawa Barat,50,27,Manufacturing,Bachelor's Degree,22000000
155,CEO  /  GM  /  Director  /  Senior Manager,IT Manager,Jawa Barat,48,23,Wholesale / Retail / Trading,Bachelor's Degree,21000000
156,CEO  /  GM  /  Director  /  Senior Manager,IT Manager,Jawa Barat,48,25,Manufacturing,Associate Degree,9000000
157,CEO  /  GM  /  Director  /  Senior Manager,IT Manager,Jakarta Raya,46,22,Others,Associate Degree,24000000
158,CEO  /  GM  /  Director  /  Senior Manager,IT Manager,Jawa Barat,46,23,IT / Telecommunication,Master's Degree / Post Graduate Degree,22000000
159,CEO  /  GM  /  Director  /  Senior Manager,IT Manager,Jakarta Raya,46,19,IT / Telecommunication,Bachelor's Degree,13000000
160,CEO  /  GM  /  Director  /  Senior Manager,IT Manager,Jakarta Raya,45,27,Wholesale / Retail / Trading,Bachelor's Degree,24000000
161,CEO  /  GM  /  Director  /  Senior Manager,IT Manager,Jakarta Raya,44,24,Wholesale / Retail / Trading,Master's Degree / Post Graduate Degree,20000000
162,CEO  /  GM  /  Director  /  Senior Manager,IT Manager,Jakarta Raya,43,21,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,17000000
163,CEO  /  GM  /  Director  /  Senior Manager,IT Manager,Jakarta Raya,42,20,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,30000000
164,CEO  /  GM  /  Director  /  Senior Manager,IT Manager,Jakarta Raya,42,22,Energy / Electricity / Water / Natural Resources,Bachelor's Degree,24000000
165,CEO  /  GM  /  Director  /  Senior Manager,IT Manager,Jakarta Raya,42,21,Services,Bachelor's Degree,19000000
166,CEO  /  GM  /  Director  /  Senior Manager,IT Manager,Jakarta Raya,42,21,Services,Bachelor's Degree,19000000
167,CEO  /  GM  /  Director  /  Senior Manager,IT Manager,Jawa Barat,41,21,Services,Bachelor's Degree,23000000
168,CEO  /  GM  /  Director  /  Senior Manager,IT Manager,Banten,41,15,Services,Bachelor's Degree,15000000
169,CEO  /  GM  /  Director  /  Senior Manager,IT Manager,Jakarta Raya,40,16,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,19600000
170,CEO  /  GM  /  Director  /  Senior Manager,IT Manager,Jawa Barat,40,17,Others,Master's Degree / Post Graduate Degree,15000000
171,CEO  /  GM  /  Director  /  Senior Manager,IT Manager,Banten,39,17,Services,Bachelor's Degree,20000000
172,CEO  /  GM  /  Director  /  Senior Manager,IT Manager,Jakarta Raya,39,16,Automotive / Heavy Industry,Associate Degree,15000000
173,CEO  /  GM  /  Director  /  Senior Manager,IT Manager,Jakarta Raya,39,14,Wholesale / Retail / Trading,Bachelor's Degree,15000000
174,CEO  /  GM  /  Director  /  Senior Manager,IT Manager,Jawa Barat,38,14,Manufacturing,Bachelor's Degree,27500000
175,CEO  /  GM  /  Director  /  Senior Manager,IT Manager,Jakarta Raya,38,15,Finance / Securities / Insurance / Real Estate,Master's Degree / Post Graduate Degree,10000000
176,CEO  /  GM  /  Director  /  Senior Manager,Supervisor,Banten,52,26,Services,Master's Degree / Post Graduate Degree,30000000
177,CEO  /  GM  /  Director  /  Senior Manager,Supervisor,Jakarta Raya,49,23,Construction,Bachelor's Degree,25000000
178,CEO  /  GM  /  Director  /  Senior Manager,Supervisor,Jakarta Raya,47,21,Automotive / Heavy Industry,Master's Degree / Post Graduate Degree,35000000
179,CEO  /  GM  /  Director  /  Senior Manager,Supervisor,Jakarta Raya,45,24,Transport / Storage / Freight / Shipping,Bachelor's Degree,34000000
180,CEO  /  GM  /  Director  /  Senior Manager,Supervisor,Jakarta Raya,44,21,Agriculture / Plantations / Aquaculture,Bachelor's Degree,33000000
181,CEO  /  GM  /  Director  /  Senior Manager,Supervisor,Jawa Barat,44,20,Services,Bachelor's Degree,13000000
182,CEO  /  GM  /  Director  /  Senior Manager,Supervisor,Jakarta Raya,42,23,Energy / Electricity / Water / Natural Resources,Master's Degree / Post Graduate Degree,29000000
183,CEO  /  GM  /  Director  /  Senior Manager,Supervisor,Jakarta Raya,41,16,Energy / Electricity / Water / Natural Resources,Bachelor's Degree,36200000
184,CEO  /  GM  /  Director  /  Senior Manager,Supervisor,Bali,40,21,Transport / Storage / Freight / Shipping,Bachelor's Degree,25000000
185,CEO  /  GM  /  Director  /  Senior Manager,Supervisor,Jawa Barat,37,13,Finance / Securities / Insurance / Real Estate,Master's Degree / Post Graduate Degree,11000000
186,CEO  /  GM  /  Director  /  Senior Manager,Supervisor,Jawa Barat,36,13,Finance / Securities / Insurance / Real Estate,Master's Degree / Post Graduate Degree,26000000
187,CEO  /  GM  /  Director  /  Senior Manager,Supervisor,Jakarta Raya,35,10,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,29250000
188,CEO  /  GM  /  Director  /  Senior Manager,Supervisor,Riau,34,10,Manufacturing,Bachelor's Degree,6500000
189,CEO  /  GM  /  Director  /  Senior Manager,Supervisor,Jawa Barat,33,11,Others,Bachelor's Degree,16000000
190,CEO  /  GM  /  Director  /  Senior Manager,Supervisor,Jakarta Raya,32,11,Construction,Associate Degree,7250000
191,CEO  /  GM  /  Director  /  Senior Manager,Supervisor,Jawa Barat,31,8,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,19500000
192,CEO  /  GM  /  Director  /  Senior Manager,Supervisor,Jakarta Raya,31,8,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,11000000
193,Manager  /  Assistant Manager,Supervisor,Jakarta Raya,63,37,Services,Bachelor's Degree,15000000
194,Manager  /  Assistant Manager,Supervisor,Jakarta Raya,63,29,Services,Bachelor's Degree,6000000
195,Manager  /  Assistant Manager,Supervisor,Jakarta Raya,60,37,Transport / Storage / Freight / Shipping,Master's Degree / Post Graduate Degree,17500000
196,Manager  /  Assistant Manager,Supervisor,Jawa Barat,54,33,Science / Technology,Master's Degree / Post Graduate Degree,6000000
197,Manager  /  Assistant Manager,Supervisor,Jawa Timur,53,7,IT / Telecommunication,Bachelor's Degree,8000000
198,Manager  /  Assistant Manager,Supervisor,Banten,52,28,Finance / Securities / Insurance / Real Estate,Master's Degree / Post Graduate Degree,7000000
199,Manager  /  Assistant Manager,Supervisor,Jawa Barat,49,25,Services,Master's Degree / Post Graduate Degree,22000000
200,Manager  /  Assistant Manager,Supervisor,Jakarta Raya,48,22,Energy / Electricity / Water / Natural Resources,Bachelor's Degree,15000000
201,Manager  /  Assistant Manager,Accounting Officer,Jakarta Raya,37,12,Services,Bachelor's Degree,4500000
202,Supervisor  /  Coordinator,Accounting Officer,Jakarta Raya,43,24,Services,Associate Degree,5000000
203,Supervisor  /  Coordinator,Accounting Officer,Jawa Barat,39,15,Energy / Electricity / Water / Natural Resources,Bachelor's Degree,7000000
204,Supervisor  /  Coordinator,Accounting Officer,Jakarta Raya,39,16,Construction,Bachelor's Degree,5800000
205,Supervisor  /  Coordinator,Accounting Officer,Jawa Barat,39,15,Wholesale / Retail / Trading,Bachelor's Degree,3800000
206,Supervisor  /  Coordinator,Accounting Officer,Jakarta Raya,38,10,Manufacturing,Bachelor's Degree,7000000
207,Supervisor  /  Coordinator,Accounting Officer,Jakarta Raya,38,12,Agriculture / Plantations / Aquaculture,Bachelor's Degree,6000000
208,Supervisor  /  Coordinator,Accounting Officer,Jakarta Raya,38,14,Automotive / Heavy Industry,Bachelor's Degree,4500000
209,Supervisor  /  Coordinator,Accounting Officer,Jawa Timur,38,14,Agriculture / Plantations / Aquaculture,Bachelor's Degree,3750000
